CCTV,#genre#
cctv1,http://183.185.59.201:9003/hls/1/index.m3u8
cctv2,http://183.185.59.201:9003/hls/2/index.m3u8
cctv3,http://183.185.59.201:9003/hls/3/index.m3u8
cctv4,http://183.185.59.201:9003/hls/4/index.m3u8
cctv5,http://183.185.59.201:9003/hls/5/index.m3u8
cctv5+,http://183.185.59.201:9003/hls/6/index.m3u8
cctv6,http://183.185.59.201:9003/hls/7/index.m3u8
cctv7,http://183.185.59.201:9003/hls/8/index.m3u8
cctv8,http://183.185.59.201:9003/hls/9/index.m3u8
cctv9,http://183.185.59.201:9003/hls/10/index.m3u8
cctv10,http://183.185.59.201:9003/hls/11/index.m3u8
cctv11,http://183.185.59.201:9003/hls/12/index.m3u8
cctv12,http://183.185.59.201:9003/hls/13/index.m3u8
cctv13,http://183.185.59.201:9003/hls/14/index.m3u8
cctv14,http://183.185.59.201:9003/hls/15/index.m3u8
cctv15,http://183.185.59.201:9003/hls/16/index.m3u8
cctv16,http://183.185.59.201:9003/hls/17/index.m3u8
cctv17,http://183.185.59.201:9003/hls/18/index.m3u8
卫视#genre#
山西卫视,http://183.185.59.201:9003/hls/19/index.m3u8
北京卫视,http://183.185.59.201:9003/hls/20/index.m3u8
安徽卫视,http://183.185.59.201:9003/hls/21/index.m3u8
重庆卫视,http://183.185.59.201:9003/hls/22/index.m3u8
东方卫视,http://183.185.59.201:9003/hls/23/index.m3u8
福建卫视,http://183.185.59.201:9003/hls/24/index.m3u8
甘肃卫视,http://183.185.59.201:9003/hls/25/index.m3u8
广东卫视,http://183.185.59.201:9003/hls/26/index.m3u8
广西卫视,http://183.185.59.201:9003/hls/27/index.m3u8
海南卫视,http://183.185.59.201:9003/hls/28/index.m3u8
河北卫视,http://183.185.59.201:9003/hls/29/index.m3u8
河南卫视,http://183.185.59.201:9003/hls/30/index.m3u8
黑龙江卫视,http://183.185.59.201:9003/hls/31/index.m3u8
湖北卫视,http://183.185.59.201:9003/hls/32/index.m3u8
湖南卫视,http://183.185.59.201:9003/hls/33/index.m3u8
吉林卫视,http://183.185.59.201:9003/hls/34/index.m3u8
江苏卫视,http://183.185.59.201:9003/hls/35/index.m3u8
江西卫视,http://183.185.59.201:9003/hls/36/index.m3u8
辽宁卫视,http://183.185.59.201:9003/hls/37/index.m3u8
内蒙卫视,http://183.185.59.201:9003/hls/38/index.m3u8
宁夏卫视,http://183.185.59.201:9003/hls/39/index.m3u8
青海卫视,http://183.185.59.201:9003/hls/40/index.m3u8
山东卫视,http://183.185.59.201:9003/hls/41/index.m3u8
陕西卫视,http://183.185.59.201:9003/hls/42/index.m3u8
深圳卫视,http://183.185.59.201:9003/hls/43/index.m3u8
四川卫视,http://183.185.59.201:9003/hls/44/index.m3u8
天津卫视,http://183.185.59.201:9003/hls/45/index.m3u8
港澳台#genre#
